text	label
 that is horrible! i would definitely try to find out who did that and press charges! way to nice of a vehicle!	1
" ""scum... sub human scum"""	1
😛 😌 “: a penis spray-painted on a $2.5 million bugatti was just for a prank video.  	1
“: a penis spray-painted on a $2.5 million bugatti was just for a prank video.  	1
“: a penis spray-painted on a $2.5 million bugatti was just for a prank video.  	1
 yeah but the prick in the driver's seat is totally real.	1
ugh “: a penis spray-painted on a $2.5 million bugatti was just for a prank video.  	1
translucent butterfly - beautiful! ' 	1
a pregnant woman has lost her eye after being shot with bean bag by police in ferguson:  	0
  poor girl, how people can be so bad!? may she get better 🙏	0
 wow smh ☝️☝️ 	0
  mixtape] big freeze &amp; g nice - no sleep gang 2 (reloaded)     dmv annapolis maryland nosleepgang	0
 that's fucked up	0
  tragic	0
_dohak  you need to get beheaded moron	0
  im betting that she regrets being amidst the chaos. bad choices....	0
 why is a pregnant women in a riot in ferguson???	0
 you guys are known for making people sad &amp; angry!	0
  so what, she is just another black girl,who cares about blacks in usa.to white's, blacks were slaves and still are.shm	0
 maybe she shouldn't have been in the middle of the riot! i sure don't feel sorry for her!	0
 petty	0
tw “: a pregnant woman has lost her eye after being shot with bean bag by police in ferguson:  ”	0
"  fred sanford ""you big dummy """	0
 mother fucking police. land of the free more land of the nazi. obama listen to your people	0
 : vito a m, why for ?	0
 the question is why can the police get away with anything???	0
 police brutality at its best.	0
 she shouldn't of been out  there protesting.	0
 😔😔😔🙏🙏💪	0
 but did she die ?	0
  probably shouldn't have been there to riot	0
  what difference does it make dip shirt...	0
 maybe don't go to a violent protest if you're pregnant?	0
 shouldn't of been rioting/looting	0
 i'm thinkn this is possibly fake	0
  you should ban this shit. in spain several people have lost their eyes or even die because of that	0
  police suck! criminals with a badge	0
 i don't know why he drove toward them. shooting the tires &amp;not gas tank would've been the better course of action god bless them	0
  we pray the sister recovers fast!	0
  how can you have a protest if you leave when someone tells you?	0
 why would you be outside in a hostile environment priorities f***** up	0
 	0
_fallon  stop blaming the victim.	0
_dohak that's why everyone tries to come to america?	0
 so she didn't have enough sense to not go to a place of conflict while she was pregnant? child endangerment methinks. _n0	0
  yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers  with his car. sad	0
 don't wanna lose an eyeball?? stayhome putbabyfirst badmommy	0
  how about child endangerment for knowingly attending a potential volatile even while pregnant!!!	0
 classactionlawsuitagainstthepolice	0
 shouldnt have been in the riot then	0
   pharrinxchange pharrinxchangeboyz shattermirror	0
 i guess that's progress. they didn't kill them! pig bastards	0
  victim blaming?	0
  police are out of control.they kkknow they wont be arrested so they attackkk and kkkill without thinking	0
 stay inside	0
  those effing bastards	0
 lmao 😂	0
   jesus...that's a 10 on the derpitude scale!	0
 hey im pregnant and i know riots aren't safe. i'm still going tho.	0
 why were they there in the first place??  pregnant riding around lol lame.   poor thing stay with your kids.   boyfriend???	0
    that's dumb, it's like you're pregnant. wtf are you doing out and about while riots are going on lol	0
 maybe you should stay home with your baby instead of driving at cops in a riot smh	0
  and why is a pregnant woman at a riot where people are firebombing buildings and looting?	0
 she has 3 left	0
  how awful	0
 any ideot that gord to a roit pregnet, enuff said,  whers the dcf , save that child from that dope !!!	0
 so it's her fault she exercised her 2nd amendment right?	0
 this is some sad shit, when is it going to end!!!	0
hi everything!! :)ok, hi everyone!jadi, berikut merupakan sedikit informasi untuk mengetahui what is covid-19?seperti yang kita tahu, ini merupakan virus yang paling baru d temukan,dan saat ini kita tengah di masa pandemi.don't underestimate it! lets read✨ 	0
and here, do/does and don't/doesn't 	0
"stay healthy everyone!!iya emang terasa bosan dan jenuh, tapi bersyukurlah di masa ini, kita masi bisa berkumpul dengan keluarga yang di rumah aja!kalo kata dokter nahla ""untuk yg bs d rmh, d rmh aja, untuk yang belum bisa, tetap jaga jarak minimal 2 meter, jgn lpa cuci tgan"" "	0
why have there been more mass shootings under obama than the 4 previous presidents combined?  	1
  pick one: bush's fault, nra, white privilege, cops, hurt feelings, fox news, intolerance, christianity, the gop	1
 because we are precieved as weak with the pantywaist libs in office	1
 and clinton's and half of w's were under the assault weapons ban, yet their's were higher than reagan's.	1
  because he was born on a tuesday.	1
bcuz obama is a muslim -- media u can stop hiding his dirty underwear- do ur job. elect samm tittle  	1
.  it's because obama leads by example. he is completely lawless, so his peeps know that they can act lawlessly without risk	1
 possibly because obama is a race baiting fool who encourages shit like this? blameshannon	1
"  he preaches division and racial hatred. people are seeing ""color"" again. sick of him"	1
  wow!	1
  more than all previous presidents combined.  obviously that is what surrendering to terrorism leads to.	1
 you rock tabitha	1
  also record gun sales(which i like)	1
  obama is turning usa into 3rd world country on purpose so we.know how it feels	1
   you forgot the koch bros. eh, maybe you ran out of 140.	1
  does it include gangs shootings at each others ?	1
 it's all the racial healing.	1
 because they know the injustice dept. will seldom if ever seek the death penalty. o has released how many terorists from gitmo	1
  when they changed the definition and terrorist acts went up under bush, it was bush's fault.now not obama's fault	1
  he did promise change!	1
"  graph those numbers and you'll have a real ""hockey stick"""	1
  epidemic of prescription anti-depressants and less to do with politics. interesting stat though.	1
 because he is enabling  terrorist	1
  more pissed off crazies because of him...	1
" that certainly is ""fundamentally transforming america"" just like potus wants."	1
  in a risk of wearing a tin foil hat to bed, it does make one wonder? rise in social media? :/	1
  blood transfusing america more like it.	1
  global warming	1
 i'm sure its not by design or some mk ultra type thing.... just a coincidence. question is, how many more will there be?	1
 _hammerslag his divisiveness and failures are driving us mad...all according to plan. blood's on his hands	1
what are the symptoms of covid-19? the most common symptoms of covid-19 are: fever, tiredness, dry cough, and body temperature.some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. 	0
some people become infected but did not develop any symptoms and don't feel ill at the same time. older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness.	0
iamnaijafight2finishyakinkawardacovid_19jcinigeriacovid19pandemicbesafefollow us on all social media for daily updates.	0
shin menene alamomin kamuwa da cutar? mafi yawancin alamomin kamuwa da wannan cuta ta covid-19 sune, zazzabi, kasala, da busasshen tari.wasu marasa lafiyar kan samu radadi a jikin su, mura, zubar da majina, kaikayin makogaro da gudawa.	0
"wasu mutanen kan kamu da cutar amma ba wani alama jin wani ciwon jiki.tsofaffi. da kuma wadanda suke da matsala ta lafiya kamar hawan jini, ciwon zuciya, ko sukari sun fi hadarin samun wannan cuta.""ninenajeriayakinkawardacovid_19jcinigeriaannobarcovid_19"	0
who can be screened and where? basically, anyone with travel history to places  where the viral disease (covid-19)  has being reported. if you have also had contact with someone with travel history to any of such places in recent time. 	0
and, if you notice the symptoms of the covid-19, do not panic. importantly, do not go to the hospital immediately, just make a call through directly to centre for disease control (ncdc) on their toll free number:  free number: 080097000010whatsapp: +2347087110839	0
iamnaijafight2finishyakinkawardacovid_19jcinigeriacovid19pandemicbesafefollow us on all social media for daily updates.	0
how does covid-19 spread?people can catch covid-19 from others who have the virus. the disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid-19 coughs or exhales these droplets land on objects	0
and have been implicated in gastroenteritis in infants. a novel coronavirus was identified as the cause of a worldwide outbreak of a severe acute respiratory syndrome (sars) in 2003. this outbreak caused by the virus is believed to have originated in guangdong south china.	0
it predominantly affected mainly china, hong kong, singapore, and taiwan. subsequently, this outbreak spread to neighboring countries in asia, canada, and the united states.in humans, several coronaviruses are known to cause respiratory infections ranging	0
from the common cold to more severe diseases such as middle east respiratory syndrome (mers) and severe acute respiratory syndrome (sars). the most recently discovered coronavirus causes coronavirus disease covid-19.	0
what is covid-19?covid-19 is the infectious disease caused by the most recently discovered coronavirus. this new virus and disease were unknown before the outbreak began in wuhan, china, in december 2019	0
what are the symptoms of covid-19?the most common symptoms of covid-19 are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually.	0
some people become infected but don’t develop any symptoms and don't feel unwell. most people (about 80%) recover from the disease without needing special treatment. around 1 out of every 6 people who gets covid-19 becomes seriously ill and develops difficulty breathing.	0
surfaces around the person. other people then catch covid-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.	0
people can also catch covid-19 if they breathe in droplets from a person with covid-19 who coughs out or exhales droplets. this is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.	0
world health organisation is assessing ongoing research on the ways covid-19 is spread. 	0
this cartoon is the perfect tribute to nathan cirillo ottawashooting  	0
"... "": this cartoon is the perfect tribute to nathan cirillo ottawashooting  "	0
“:cartoon is perfect tribute tonathancirillo ottawashooting    ontario rt	0
5g mobile networks do not spread covid-19 – who  	0
"_trust we know 5g can't birth viruses, but it's detrimental to human health. in a nutshell,""the radiation from 5g kills"""	0
_trust if there’s a conspiracy and if covid 19 is a business who will be part of it.	0
12. what can i do to protect myself and prevent the spread of disease?protection measures for everyone!stay aware of the latest information on the covid-19 outbreak, available on the who website and through your national and local public health authority.	0
2. this new virus and disease were unknown before the outbreak began in wuhan, china, in december 2019	0
3. the most common symptoms of covid-19 are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually.	0
4. some people become infected but don’t develop any symptoms and don't feel unwell. most people (about 80%) recover from the disease without needing special treatment. around 1 out of every 6 people who gets covid-19 becomes seriously ill and develops difficulty breathing.	0
8. people can also catch covid-19 if they breathe in droplets from a person with covid-19 who coughs out or exhales droplets. this is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.	0
9. can the virus that causes covid-19 be transmitted through the air?studies to date suggest that the virus that causes covid-19 is mainly transmitted through contact with respiratory droplets rather than through the air.  see previous answer on “how does covid-19 spread?	0
10. can covid-19 be caught from a person who has no symptoms?the main way the disease spreads is through respiratory droplets expelled by someone who is coughing. the risk of catching covid-19 from someone with no symptoms at all is very low.	0
11. however, many people with covid-19 experience only mild symptoms. this is particularly true at the early stages of the disease. it is therefore possible to catch covid-19 from someone who has, for example, just a mild cough and does not feel ill.	0
13. many countries around the world have seen cases of covid-19 and several have seen outbreaks. authorities in china and some other countries have succeeded in slowing or stopping their outbreaks.	0
13.(a)however, the situation is unpredictable so check regularly for the latest news.you can reduce your chances of being infected or spreading covid-19 by taking some simple precautions:	0
13.(b)regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.why? washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.	0
13. (c)maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.why? when someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus.	0
13. (c)...  if you are too close, you can breathe in the droplets, including the covid-19 virus if the person coughing has the disease.	0
soldier shot at national war memorial in ottawa  cdnpoli hw	0
 time to get snipers out on the roofs. take him out, no talking!!!	0
rt  soldier shot at national war memorial in ottawa  cdnpoli hw	0
our thoughts to all those in ottawa “: soldier shot at national war memorial in ottawa  cdnpoli hw”	0
gunfire inside canadian parliament; soldier shot at national war memorial in ottawa  cdnpoli 	0
non-essential services shutdown? can someone explain to me how  is essential while  is not?	1
  not to mention why it was essential for the military academies to play their football games...	1
  waronchildren	1
 oil trumps life	1
 it probably depends on how the website maint contracts were set-up and where they're feds or contractors running them. (?)	1
 seems priorities are really fucked up in dc.	1
 neither has been updated since the shutdown. one just has a splash page letting us know. shutdown shouldn't happen, though.	1
  my website costs more or takes more time to shut down rather than just let it stay up!	1
 a missing child alert system sounds pretty fucking essential to me.	1
 well of course... this is part of the smoke and mirrors. what can we shut down that will piss off the most people?	1
   they do have bandwidth &amp; electricity costs. plus many gov sites run on aws cloud at hourly rates.	1
 i suppose we should simply let you decide what's essential and what's not? fuck you, dude.	1
   it comes from the spitehouse	1
. this 	1
 my bud  agrees: 	1
"mt"": non-essential shutdown? can someone explain to me how  is essential while  isnt?”"	1
  yeah, pull the heart strings, wipe tears, and ask for votes.  throw all the bums out!!!!  pissed off and mad about it.	1
 i have the same question about camp david staying open.	1
because websites don’t just run on their own.  someone has to be back behind the curtain or it just shuts off right?  	1
  probably fuel economy site has a different funding source. car companies, perhaps?	1
 one has to do with money the other just has to human life. we all know what rules politics nowadays.	1
" or why michelle obamas ""let's move"" food nanny website is still up?"	1
  excellent question!	1
" only 17% of the usg is actually shut down. but michelle obama's ""let's move"" site is up and running. almost other no fed site up."	1
   it all comes down to when funding was awarded. if the contract to run a site is already paid, it will keep running.	1
" confused fueleconomy clearly states ""may not be updated"" in green text for same reason, though 2nd url went a little more extreme"	1
 he is an ex race car driver, just because majority doesn't have a clue who he is, doesn't mean nobody does.	0
 and who is he?	0
  who cares about paulwalker more than about any victim of driver who's been speeding?	0
 __yeah or because he drove too fast and killed both of them.	0
the coronavirus outbreakanswers to your most common questions:updated march 2, 2020what is a coronavirus?it is a novel virus named for the crownlike spikes that protrude from its surface. the coronavirus can infect both animals and people and can	0
and people and can cause a range of respiratory illnesses from the common cold to lung lesions and pneumonia.how contagious is the virus?it seems to spread very easily from person to person, especially in homes, hospitals and other confined spaces.	0
the pathogen can travel through the air, enveloped in tiny respiratory droplets that are produced when a sick person breathes, talks, coughs or sneezes.where has the virus spread?the virus, which originated in wuhan, china, has sickened more than 89,700 in	0
at least 67 countries and more than 3,000 have died. the spread has slowed in china, but is picking up speed in europe and the united states.what symptoms should i look out for?symptoms, which can take between two to 14 days to appear, include fever, cough	0
and difficulty breathing or shortness of breath. milder cases may resemble the flu or a bad cold, but people may be able to pass on the virus even before they develop symptoms.how do i keep myself and others safe?washing your hands frequently is the most	0
the most important thing you can do, along with staying at home when you’re sick and avoiding touching your face.how can i prepare for a possible outbreak?keep a 30-day supply of essential medicines. get a flu shot. have essential household items on hand.	0
have a support system in place for elderly family members.what if i’m traveling?the c.d.c. has advised against all non-essential travel to south korea, china, italy and iran. and the agency has warned older and at-risk travelers to avoid japan.	0
how long will it take to develop a treatment or vaccine?several drugs are being tested, and some initial findings are expected soon. a vaccine to stop the spread is still at least a year away.	0
'fast and furious' cast mourns paul walker's death 	0
rip “: 'fast and furious' cast mourns paul walker's death 	0
	0
 i m so sad about that	0
 r_i_p i'w miss him	0
 =(  rip!!	0
so sad. rt : 'fast and furious' cast mourns paul walker's death 	0
 it's devastating, gudnite bro!	0
“: 'fast and furious' cast mourns paul walker's death  rippaulwalker paulwalker 	0
la convo avec tyrese (aka roman pearce) ouf :-( rt“: 'fast and furious' cast mourns paul walker's death 	0
sadness the moment i heard my thought was *here happy 1 moment, gone the next moment.godspeedpaul	0
 great actor. in peace......	0
	0
iphone 6 owners claim it's bending in their pockets 	1
“: iphone 6 owners claim it's bending in their pockets  oh really ?	1
“: iphone 6 owners claim it's bending in their pockets  this is crazy 😳	1
uh oh... bendgate“: iphone 6 owners claim it's bending in their pockets 	1
 is it made from caramel?	1
“: iphone 6 owners claim it's bending in their pockets  cargo pants comeback!	1
  i know just the one!	1
 junk, just high priced junk....for self- important people...	1
“: iphone 6 owners claim it's bending in their pockets  it's not just your iphone 5 _dany  crapple	1
tight ass pants. rt : iphone 6 owners claim it's bending in their pockets 	1
“: iphone 6 owners claim it's bending in their pockets 	1
and i wanted to buy one tomorrow? ah never mind 😂😂😂😂🙈“: iphone 6 owners claim it's bending in their pockets 	1
bendable gbese? “: iphone 6 owners claim it's bending in their pockets 	1
i would suggest looser pants “: iphone 6 owners claim it's bending in their pockets 	1
 “: iphone 6 owners claim it's bending in their pockets 	1
 can't be - i heard apple is perfect - just ask their passionate followers	1
ta-da-da-daaan lol ruhroh ►: iphone 6 owners claim it's bending in their pockets 	1
" the iphone is saying ""get bent""!!"	1
oh dear apple... “: iphone 6 owners claim it's bending in their pockets 	1
  actually dying. however brad pitt was seen wearing cargo pants last week so maybe there's hope ya know	1
cause sitting on your phone is the smart thing to do.. rt : iphone 6 owners claim it's bending in their pockets 	1
“: iphone 6 owners claim it's bending in their pockets 	1
 buy bigger pants 😃	1
“: iphone 6 owners claim it's bending in their pockets  might just replace my 5 battery...call it a day	1
" all types of ""wrongs"" in this article"	1
oh snap rt  iphone 6 owners claim it's bending in their pockets 	1
“: iphone 6 owners claim it's bending in their pockets  	1
“: iphone6 owners claim it's bending in their pockets  apple    	1
wow! it bends too! “: iphone 6 owners claim it's bending in their pockets 	1
 real life .., no claim	1
“: iphone 6 owners claim it's bending in their pockets  	1
_santucci “: iphone 6 owners claim it's bending in their pockets 	1
 is your iphone 6 plus bending in your pocket, or are you just happy to see me? - everyone	1
 iphone6 beat  with the world's first flexible phone!	1
“: iphone 6 owners claim it's bending in their pockets hilarious !!! no fix for that one i bet	1
 oh shit, a flexible screen... ahead of the curve! lol	1
  usually objects of that size in your pants are bound to have a little bend to 'em. justsayin	1
“: “: iphone 6 owners claim it's bending in their pockets ” might just replace my 5 battery...” 😒 they pants just tight af	1
“: iphone 6 owners claim it's bending in their pockets  let's focus on the battery and wifi problems first.	1
“: iphone 6 owners claim it's bending in their pockets  shit 😁	1
" it's not bending. it's just ""flexing."" "	1
“: iphone 6 owners claim it's bending in their pockets ετσι &amp; υποψιαστω οτι ειναι αληθεια .... θα πεθανω!!!	1
“: iphone 6 owners claim it's bending in their pockets 	1
 that's brilliant. it fits my bums	1
“: iphone 6 owners claim it's bending in their pockets    	1
“: iphone 6 owners claim it's bending in their pockets   cuidado miniiii!	1
plagiarism is the new virus, what is covid-19? 	0
 covid got competition now 😂	0
 at least turnitin is a cure for this virus	0
misconceptions 1.) covid-19 is just like the flu/another strain of the flu. 2.) covid-19 is not as infectious nor as deadly as the seasonal flu. 3.) younger individuals should not be worried about the virus.	1
of greater concern to younger individuals, and in fact everyone should be the expected reemergence of covid-19 in this coming fall. (4) the reemergence of infectious diseases in the fall typically is accompanied by mutations to the infectious agent enabling it to infect	1
all individuals, young and old and typically more virulent as well.(5) which brings me to point 4.  4.) the actions mandated by public health officials, schools, and businesses worldwide are by no accounts an overreaction.	1
the prevention of the spread of disease not only helps our health professionals, hospitals, and public health organizations treat individuals, but also decreases risk of mutations in covid-19 which would be responsible for a reemergence of covid-19 in the fall able to severely	1
affect all individuals as the more covid-19 is able to replicate in a host the more likely a beneficial mutation (from perspective of the virus) is to arise. (6) the stopping of the spread of covid-19 now is crucial to preventing the spread later, and for protecting the elderly,	1
immunocompromised, and those with pre-existing conditions. it should also be noted that not extending the course of the covid-19 virus in the population disproportionately affects those of lower socioeconomic statuses and those who are more likely to return to their workplace as	1
a result of financial need leading to increased spread. (7,8)i would never make a claim to be an expert on this topic, and i applaud and look up to those who have spent their lives conducting research on infectious diseases.	1
i am, however, passionate about this particular area of science and passionate about education and educating the general public about infectious diseases. i highly encourage everyone of you to do your research, educate yourself on how you can best help yourself, your family,	1
and your community. the efforts to stop the spread of this disease begin on the individual level and are part of a global effort. the actions of individuals today will have resounding impacts in months and years to come.	1
i urge you to be safe and think of others in addition to yourself. references1)2)3) 4) 5)	1
6) 7)8)	1
what are the symptoms of covid-19? is covid-19 airborne? here are the answers to your biggest questions about the coronavirus pandemic 	0
 i think coronavirus is airborne	0
 doesn’t load properly. please fix.	0
 initially it's exhaled water droplets which can be inhaled or by transferance from surfaces.the virus can survive on anything except copper and live up to three days.	0
 1st pic looks like a wojack	0
 coronavirus...206k deaths as of todayfor comparison ....	0
  that's flu deaths without lockdowns.. without lockdown covid deaths would be at least a million by now.. and that's only few months..	0
 check out my gig on fiverr: do amazon product listing image and photo editing 	0
as we reopen ohio, people will have to be very, very careful until we get a vaccine. you'll have to weigh benefit vs. risk. you will have to make sure you're wearing a mask when you go out, continue social distancing, etc. covid19 is not going away until we get a vaccine.	0
 all y’all responding that it’s your choice he’s not talking about just you. of course you can make the decision to take the risk but if you get sick it’s not just “your problem.” if the hospitals get overwhelmed that’s his problem.	0
 if you end up hospitalized and the nurse who takes care of you catches it and can’t work to help save others or worse yet becomes gravely ill or dies because of you is that still not “your problem!?” why cant we as humans care about others more than ourselves?	0
  you’re right! numbers don’t lie! i guess i’m just confused where you are getting your numbers... 	0
15. drinking alcohol does not protect you against covid-19 and can be dangerous 	0
14. covid-19 virus can be transmitted in areas with hot and humid climates 	0
16. being able to hold your breath for 10 seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease (covid-19) or any other lung disease. 	0
17. you can recover from the coronavirus disease (covid-19). catching the new coronavirus does not mean you will have it for life. 	0
18. exposing yourself to the sun or to temperatures higher than 25c degrees does not prevent the coronavirus disease (covid-19) 	0
19. 5g mobile networks do not spread covid-19 	0
cold weather and snow cannot kill the new coronavirus.there is no reason to believe that cold weather can kill the new coronavirus or other diseases. the normal human body temperature remains around 36.5°c to 37°c, regardless of the external temperature or weather.	0
by doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose. 	0
the new coronavirus is a respiratory virus which spreads primarily through droplets generated when an infected person coughs or sneezes, or through droplets of saliva or discharge from the nose.	0
to protect yourself, clean your hands frequently with an alcohol-based hand rub or wash them with soap and water. also, avoid close contact with anyone who is coughing and sneezing. 	0
are hand dryers effective in killing the new coronavirus?no. hand dryers are not effective in killing the 2019-ncov. to protect yourself against the new coronavirus, you should frequently clean your hands with an alcohol-based hand rub or wash them with soap and water.	0
once your hands are cleaned, you should dry them thoroughly by using paper towels or a warm air dryer. 	0
can an ultraviolet disinfection lamp kill the new coronavirus?uv lamps should not be used to sterilize hands or other areas of skin as uv radiation can cause skin irritation. 	0
how effective are thermal scanners in detecting people infected with the new coronavirus?thermal scanners are effective in detecting people who have developed a fever (i.e. have a higher than normal body temperature) because of infection with the new coronavirus.	0
however, they cannot detect people who are infected but are not yet sick with fever. this is because it takes between 2 and 10 days before people who are infected become sick and develop a fever. 	0
can spraying alcohol or chlorine all over your body kill the new coronavirus?no. spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body.	0
spraying such substances can be harmful to clothes or mucous membranes (i.e. eyes, mouth). be aware that both alcohol and chlorine can be useful to disinfect surfaces, but they need to be used under appropriate recommendations. 	0
do vaccines against pneumonia protect you against the new coronavirus?no. vaccines against pneumonia, such as pneumococcal vaccine and haemophilus influenza type b (hib) vaccine, do not provide protection against the new coronavirus.	0
the virus is so new and different that it needs its own vaccine. researchers are trying to develop a vaccine against 2019-ncov, and who is supporting their efforts.	0
although these vaccines are not effective against 2019-ncov, vaccination against respiratory illnesses is highly recommended to protect your health. 	0
